TRY,lat,lon,station,region,height,T_min_ref
1,53.5591,8.5872,Bremerhaven,Nordseeküste,3,-8.2
2,54.0878,12.1088,Rostock,Ostseeküste,16,-10.4
3,53.5299,10.0078,Hamburg,Nordwestdeutsches Tiefland,5,-9.4
4,52.3938,13.0651,Potsdam,Nordostdeutsches Tiefland,34,-12.4
5,51.4562,7.0568,Essen,Niederrheinisch-westfälische Bucht und Emsland,102,-7.8
6,55.6461,7.9426,Bad Marienburg,Nördliche und westliche Mittelgebirge (Randgebiete),453,-10.9
7,51.3334,9.4725,Kassel,Nördliche und westliche Mittelgebirge (zentrale Bereiche),181,-10.8
8,51.7239,10.6069,Braunlage,Oberharz und Schwarzwald (mittlere Lagen),593,-13.7
9,50.8233,12.9181,Chemnitz,Thüringer Becken und Sächsisches Hügelland,297,-13.3
10,50.3226,11.9124,Hof,Südöstliche Mittelgebirge bis 1000 m,482,-14.8
11,50.4312,12.9522,Fichtelberg,Erzgebirge sowie Böhmer- und Schwarzwald oberhalb 1000 m,1177,-14.4
12,49.4902,8.4637,Mannheim,Oberrheingraben und unteres Neckartal,103,-10.5
13,48.2432,12.5286,Mühldorf,Schwäbisch-fränkisches Stufenland und Alpenvorland,386,-13.7
14,48.6536,9.8666,Stötten,Schwäbische Alb und Baar,679,-14.3
15,47.4945,11.1046,Garmisch Partenkirchen,Alpenrand und -täler,711,-15.3
