Country;CountryID;Unit consumption per dwelling (toe/dw);Unit consumption of electricity per dwelling (kWh/dw);Unit consumption of space heating and water heating per dwelling, normal climate (toe/dw);Unit consumption per dwelling for space heating with climatic corrections (toe/dw);Unit consumption in useful energy for space heating with climatic corrections (toe/dw);Unit consumption of hot water per dwelling (toe/dw);11630;;Unit consumption per dwelling for cooking (toe/dw);;Unit consumption per dwelling for cooling (kWh/dw);Unit consumption per dwelling for lighting and electrical appliances (kWh/dw);;Unit consumption per dwelling for lighting (kWh/dw);;ratio cooking to total
European Union;EU;1.28;3728.43;1.04;0.86;0.64;0.18;;;0.08;;54.74;2275.8;;232.17;;0.290187761
Austria;AT;1.65;4642.28;1.51;1.28;0.96;0.23;2712.12;1930.16;0.03;358.2;25.76;2178.04;2536.24;430.13;19166.24;0.138072135
Belgium;BE;1.57;3747.89;1.46;1.26;0.97;0.2;2271.34;1476.55;0.03;317.5;12.37;2461.11;2778.61;n.a.;18288.18;0.124163259
Bulgaria;BG;0.73;3653.1;0.55;0.5;0.36;0.05;612.9;3040.2;0.03;402.4;509.56;1616.77;2019.17;202.27;8444.54;0.177496731
Croatia;HR;1.47;4091.44;1.24;1.08;0.7;0.16;1832.89;2258.55;0.1;1164.16;340.64;2329.1;3493.27;358.96;17054.23;0.333037427
Cyprus;CY;0.95;4801.33;0.53;0.31;0.24;0.22;2503.94;2297.39;0.14;1666.58;572.47;2925.94;4592.52;795.09;11034.54;0.357520849
Czechia;CZ;1.53;3442.65;1.42;1.15;0.82;0.27;3156.38;286.27;0.11;1290.93;11.65;1365.02;2655.95;179.42;17848.56;0.483791674
Denmark;DK;1.47;3616;1.38;1.38;1.09;0.36;4142.61;-526.61;0.03;343.09;n.a.;2638.63;2981.72;n.a.;17117.03;0.116785438
Estonia;EE;1.38;3026.32;1.07;0.84;0.67;0.23;2681.88;344.44;0.23;2705.14;n.a.;1375.57;4080.71;n.a.;16021.49;0.660392498
Finland;FI;1.72;7665.34;1.38;1.11;0.91;0.27;3141.26;4524.08;0.02;231.44;n.a.;3357.45;3588.88;549.94;19976.85;0.064790184
France;FR;1.27;5439.55;1.02;0.87;0.66;0.15;1781.72;3657.84;0.08;879.23;37.12;2781.53;3660.75;219.16;14808.48;0.250651278
Germany;DE;1.43;3235.32;1.22;1;0.77;0.22;2584.19;651.13;0.09;1021.11;32.64;1558.4;2579.51;266.35;16604.15;0.401788799
Greece;GR;0.97;4152.65;0.68;0.61;0.44;0.08;874.58;3278.07;0.09;1043.21;135.12;2538.16;3581.37;n.a.;11234.58;0.291977929
Hungary;HU;1.46;2988.94;1.36;1.16;0.85;0.19;2242.26;746.67;0.07;854.81;30.05;1810.68;2665.48;n.a.;16972.82;0.310159328
Ireland;IE;1.57;4543.9;1.42;1.13;0.86;0.29;3364.56;1179.34;0.08;900.16;n.a.;2115.16;3015.32;n.a.;18252.12;0.305493899
Italy;IT;1.25;2633.53;1.06;0.9;0.66;0.16;1846.84;786.69;0.09;989.71;100.24;2082.03;3071.74;n.a.;14496.8;0.334544687
Lithuania;LT;0.95;1940.52;0.82;0.73;0.54;0.09;1012.97;927.55;0.06;754.79;n.a.;1700.81;2455.6;n.a.;11032.22;0.29091849
Luxembourg;LU;2.06;4072.57;2.2;2.05;1.62;0.15;1699.14;2373.42;0.04;477.99;53.1;1752.44;2230.44;53.1;23932.21;0.209772551
Malta;ML;0.49;4365.38;0.2;0.07;0.06;0.13;1560.75;2804.64;0.07;862.95;687.55;1623.01;2485.96;n.a.;5697.54;0.334043191
Netherlands;NL;1.25;3131.33;1.09;0.93;0.74;0.16;1874.76;1256.58;0.03;355.88;18.31;2577.68;2933.56;333.09;14563.09;0.119217653
Poland;PL;1.51;2139.16;1.23;1;0.72;0.24;2738.87;-599.71;0.12;1390.95;n.a.;1673.61;3064.55;n.a.;17576.42;0.454709844
Portugal;PR;0.65;3246.45;0.25;0.13;0.08;0.12;1368.85;1877.6;0.26;3044.73;52.59;1528.63;4573.36;n.a.;7562.99;0.664216693
Slovakia;SV;1.48;3092.28;1.02;0.78;0.64;0.24;2798.18;294.1;0.57;6608.17;n.a.;2484.94;9093.11;211.15;17249.62;0.72735033
Slovenia;SI;1.31;4397.27;1.13;0.92;0.62;0.21;2460.91;1936.36;0.06;675.7;89.06;2558.41;3234.11;220.23;15226;0.214298218
Spain;ES;0.77;3918.3;0.47;0.33;0.23;0.14;1615.41;2302.89;0.06;683.84;94.44;2975.41;3659.25;475.16;8921.37;0.189970081
Sweden;SE;1.51;9135.99;1.08;0.87;0.76;0.22;2515.57;6620.42;0.02;269.82;n.a.;5288.23;5558.04;n.a.;17535.71;0.042131346
