hour ,Fixed_Price_Spain,Static_TOU_Price_Spain,Fixed_Price_Italy,Static_TOU_Price_Italy,Fixed_Price_Greece,Static_TOU_Price_Greece,Fixed_Price_Bosnia_and_Herzegovina,Static_TOU_Price_Bosnia_and_Herzegovina,Fixed_Price_Serbia,Static_TOU_Price_Serbia
0,0.2816,0.205033,0.236,,0.1974,,0.0868,,0.0811,
1,0.2816,0.205033,0.236,,0.1974,,0.0868,,0.0811,
2,0.2816,0.205033,0.236,,0.1974,,0.0868,,0.0811,
3,0.2816,0.205033,0.236,,0.1974,,0.0868,,0.0811,
4,0.2816,0.205033,0.236,,0.1974,,0.0868,,0.0811,
5,0.2816,0.205033,0.236,,0.1974,,0.0868,,0.0811,
6,0.2816,0.205033,0.236,,0.1974,,0.0868,,0.0811,
7,0.2816,0.205033,0.236,,0.1974,,0.0868,,0.0811,
8,0.2816,0.243471,0.236,,0.1974,,0.0868,,0.0811,
9,0.2816,0.243471,0.236,,0.1974,,0.0868,,0.0811,
10,0.2816,0.243471,0.236,,0.1974,,0.0868,,0.0811,
11,0.2816,0.299831,0.236,,0.1974,,0.0868,,0.0811,
12,0.2816,0.299831,0.236,,0.1974,,0.0868,,0.0811,
13,0.2816,0.299831,0.236,,0.1974,,0.0868,,0.0811,
14,0.2816,0.299831,0.236,,0.1974,,0.0868,,0.0811,
15,0.2816,0.243471,0.236,,0.1974,,0.0868,,0.0811,
16,0.2816,0.243471,0.236,,0.1974,,0.0868,,0.0811,
17,0.2816,0.243471,0.236,,0.1974,,0.0868,,0.0811,
18,0.2816,0.243471,0.236,,0.1974,,0.0868,,0.0811,
19,0.2816,0.299831,0.236,,0.1974,,0.0868,,0.0811,
20,0.2816,0.299831,0.236,,0.1974,,0.0868,,0.0811,
21,0.2816,0.299831,0.236,,0.1974,,0.0868,,0.0811,
22,0.2816,0.299831,0.236,,0.1974,,0.0868,,0.0811,
23,0.2816,0.243471,0.236,,0.1974,,0.0868,,0.0811,
