Component;Maintenance Costs in EUR;Fuel CO2 Emissions in kg;Consumption in kWh
BUI2_Building;0.0;0.0;0.0
BUI2_UTSPConnector;0.0;0.0;0.0
BUI2_PVSystem;2.34;0.0;0.0
BUI2_HeatDistributionController;0.0;0.0;0.0
BUI2_HeatPumpController;0.0;0.0;0.0
BUI2_AdvancedHeatPumpHPLib;5.61;0.0;159.3
BUI2_DHWBoiler;2.5;0.0;0.0
BUI2_DHWHeatpumpController;0.0;0.0;0.0
BUI2_DHWHeatPump;4.35;0.0;27.0
BUI2_SimpleHotWaterStorage;0.0;0.0;0.0
BUI2_HeatDistributionSystem;1.53;0.0;0.0
BUI2_Battery;3.16;0.0;0.0
BUI2_L2EMSElectricityController;0.0;0.0;0.0
BUI2_Total;19.5;0.0;186.3
BUI2_Total_without_heatpump;9.53;0.0;0.0
BUI2_Total_only_heatpump;9.97;0.0;186.3
BUI1_Building;0.0;0.0;0.0
BUI1_UTSPConnector;0.0;0.0;0.0
BUI1_PVSystem;2.34;0.0;0.0
BUI1_HeatDistributionController;0.0;0.0;0.0
BUI1_HeatPumpController;0.0;0.0;0.0
BUI1_AdvancedHeatPumpHPLib;5.61;0.0;159.3
BUI1_DHWBoiler;2.5;0.0;0.0
BUI1_DHWHeatpumpController;0.0;0.0;0.0
BUI1_DHWHeatPump;4.35;0.0;27.0
BUI1_SimpleHotWaterStorage;0.0;0.0;0.0
BUI1_HeatDistributionSystem;1.53;0.0;0.0
BUI1_Battery;3.16;0.0;0.0
BUI1_L2EMSElectricityController;0.0;0.0;0.0
BUI1_Total;19.5;0.0;186.3
BUI1_Total_without_heatpump;9.53;0.0;0.0
BUI1_Total_only_heatpump;9.97;0.0;186.3
District_Weather;0.0;0.0;0.0
District_PV_Park;2.29;0.0;0.0
District_Total;2.29;0.0;0.0
District_Total_without_heatpump;2.29;0.0;0.0
District_Total_only_heatpump;0.0;0.0;0.0
Total;41.29;0.0;372.6
Total_without_heatpump;21.35;0.0;0.0
Total_only_heatpump;19.93;0.0;372.6
